@RELATION svm5classmodel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {depan_mati,tengah_mati,depan_menyala,samping_mati}

@DATA
0.038952,0.008321,2.789751,0.146377,0.217809,0.275431,0.014745,0.037946,-31.919898,2.404172,0.590184,0.599809,0.285445,0.249943,0.157291,0.142802,0.023888,0.224009,0.005788,0.141956,0.020215,0.011792,0.001131,0.069388,0.004800,0.048157,0.004155,0.081030,0.001490,0.003088,0.010789,0.043746,0.002176,0.039401,0.020862,0.013831,0.524626,0.048814,0.046854,0.178492,0.010208,0.020446,3.659091,0.773733,0.579697,0.247734,0.195337,0.202974,0.219766,0.227045,0.208311,0.188343,0.189765,0.148331,0.114270,0.014097,0.000970,0.041801,0.005611,0.045410,0.004627,0.065874,0.002278,0.002987,0.011027,0.038753,0.003874,0.013043,depan_mati
0.069336,0.008500,2.423009,0.183875,0.232268,0.543476,0.006436,0.080036,-31.538013,2.110474,0.260914,0.190421,0.036258,0.127721,0.000927,-0.046161,-0.060246,0.183764,-0.168014,0.027934,0.011876,0.017435,0.003809,0.047701,0.012823,0.040816,0.011286,0.046943,0.002260,0.005855,0.015122,0.028168,0.007229,0.024229,0.025625,0.013958,0.468891,0.046676,0.038293,0.239929,0.005286,0.035739,3.439979,0.636915,0.458089,0.251360,0.190816,0.149349,0.158020,0.149202,0.147280,0.136513,0.125025,0.116905,0.098760,0.013167,0.001469,0.027467,0.011217,0.027975,0.005366,0.047603,0.001286,0.002723,0.006913,0.015539,0.002096,0.011430,depan_mati
0.072361,0.007571,2.928347,0.204837,0.241516,0.643342,0.005607,0.083222,-33.137458,1.779535,0.241157,0.409486,0.062398,0.096574,0.039748,0.078140,-0.106690,0.216153,-0.056101,0.139092,-0.018208,0.010415,0.002451,0.046120,0.008903,0.048737,0.006326,0.027567,0.004292,0.004895,0.011229,0.031015,0.004218,0.023071,0.028877,0.012699,0.483312,0.048166,0.039286,0.329319,0.004367,0.046741,3.297320,0.646121,0.603845,0.312073,0.239524,0.238726,0.240402,0.191079,0.162899,0.209450,0.197278,0.171643,0.138813,0.009438,0.001709,0.033744,0.008258,0.026870,0.004753,0.024187,0.006317,0.003755,0.009996,0.029791,0.004427,0.009723,depan_mati
0.083303,0.007036,3.013210,0.213003,0.248322,0.676370,0.007066,0.089146,-33.539452,1.673528,0.217778,0.559642,0.171200,0.109142,0.047563,0.092237,-0.058311,0.184426,-0.036381,0.121331,-0.073195,0.013641,0.002681,0.038933,0.008229,0.043362,0.006936,0.049116,0.002918,0.006290,0.010288,0.024932,0.003291,0.025420,0.039169,0.011004,0.398206,0.061110,0.047979,0.372189,0.008165,0.039373,4.170673,0.824819,0.494499,0.248497,0.148306,0.174718,0.206771,0.209132,0.165197,0.163867,0.182037,0.169770,0.120476,0.013486,0.002629,0.036827,0.005614,0.033498,0.006311,0.036219,0.005715,0.005058,0.007620,0.011610,0.002514,0.012058,depan_mati
0.049307,0.015346,2.806727,0.167169,0.214311,0.374844,0.011894,0.061159,-30.529601,2.283350,0.241585,0.521297,0.249160,0.199967,0.084465,0.113440,-0.115319,0.224730,-0.186394,0.087132,-0.098068,0.029008,0.001864,0.062326,0.007879,0.037892,0.006805,0.035592,0.004621,0.004676,0.019387,0.028352,0.003692,0.029969,0.030418,0.019094,0.513303,0.076466,0.064932,0.345129,0.010891,0.060578,5.180170,0.894035,0.779643,0.433516,0.334530,0.259202,0.297686,0.230222,0.212843,0.218919,0.265553,0.213955,0.152857,0.042641,0.001812,0.054819,0.009032,0.035899,0.007384,0.028018,0.010666,0.004011,0.018072,0.026628,0.005427,0.012226,depan_mati
0.058723,0.011445,2.708338,0.151383,0.200333,0.357742,0.010309,0.058167,-30.092959,2.400137,0.265540,0.368320,0.095425,0.139274,-0.038469,0.076496,-0.170071,0.337066,-0.133115,0.139425,-0.012487,0.021661,0.002038,0.048634,0.006696,0.048019,0.013679,0.026335,0.004288,0.004286,0.015349,0.034187,0.003268,0.026070,0.045382,0.016093,0.664179,0.082188,0.071152,0.347907,0.009264,0.045597,5.458846,1.036706,1.008694,0.457110,0.324438,0.281025,0.302670,0.271206,0.316115,0.200267,0.293883,0.177574,0.139508,0.026080,0.003206,0.034013,0.005893,0.045864,0.011746,0.026000,0.008003,0.002894,0.013491,0.028545,0.003696,0.010830,depan_mati
0.068444,0.011681,2.852123,0.183149,0.226436,0.566126,0.007735,0.086434,-31.602787,1.995745,0.188990,0.341645,0.167001,0.086519,0.048367,0.061741,-0.072354,0.201378,-0.079811,0.165611,-0.027076,0.023872,0.002150,0.046957,0.006117,0.037606,0.011784,0.031519,0.003426,0.005351,0.017911,0.030015,0.004279,0.023864,0.044522,0.017486,0.464106,0.086597,0.066647,0.510994,0.008600,0.074479,6.213634,1.052778,0.758663,0.397460,0.223495,0.270143,0.293604,0.228675,0.206865,0.205514,0.274085,0.208053,0.142691,0.033212,0.001919,0.043364,0.004483,0.030345,0.013321,0.022269,0.005237,0.004615,0.016483,0.025409,0.003966,0.012692,depan_mati
0.068330,0.008287,2.809496,0.200135,0.240930,0.516036,0.007485,0.069238,-33.238061,1.850660,0.296959,0.567508,0.307783,0.139130,0.030016,0.046840,-0.075186,0.242832,-0.135492,0.069025,-0.050025,0.018102,0.001756,0.041391,0.006387,0.047359,0.007965,0.033974,0.002771,0.004586,0.021564,0.033142,0.002360,0.025948,0.029419,0.009128,0.547856,0.031637,0.033714,0.196151,0.010437,0.031297,3.006894,0.539918,0.566760,0.336207,0.237966,0.220816,0.253123,0.220499,0.147864,0.168639,0.197817,0.142095,0.128217,0.016487,0.001307,0.020284,0.004948,0.036043,0.008115,0.024546,0.005340,0.004151,0.021563,0.024706,0.002250,0.008918,depan_mati
0.075726,0.008030,2.904441,0.201027,0.238260,0.575964,0.009212,0.073745,-33.608565,1.977394,0.283251,0.441677,0.142509,0.105780,0.058976,0.118263,-0.075331,0.151670,-0.103816,0.088773,-0.012585,0.021510,0.002414,0.041127,0.005724,0.054057,0.008891,0.031104,0.002061,0.003270,0.013682,0.026573,0.003616,0.025412,0.031666,0.011731,0.468800,0.062596,0.054077,0.270238,0.007870,0.036084,4.024398,0.815265,0.624887,0.260735,0.229200,0.237946,0.231018,0.191026,0.160398,0.155064,0.210084,0.142975,0.105981,0.029737,0.001149,0.028881,0.004229,0.028085,0.009665,0.021542,0.002327,0.002572,0.011543,0.022261,0.002482,0.008067,depan_mati
0.065004,0.015812,2.646212,0.176604,0.224919,0.468362,0.007176,0.064844,-30.917904,2.319626,0.160637,0.335949,0.165395,0.151605,0.000438,0.092489,-0.084878,0.249369,-0.045710,0.115175,-0.015767,0.020571,0.002321,0.064565,0.009036,0.040292,0.007727,0.036971,0.001970,0.006809,0.013936,0.026763,0.006239,0.025358,0.038562,0.025215,0.663894,0.083731,0.068299,0.437136,0.006360,0.059156,6.125012,1.065830,0.733214,0.409463,0.343772,0.270179,0.265715,0.207589,0.216571,0.188654,0.205065,0.208437,0.129687,0.016160,0.001633,0.048961,0.007722,0.033249,0.008125,0.025002,0.002516,0.007295,0.009941,0.017031,0.007512,0.011034,depan_mati
0.057945,0.015979,2.771151,0.165820,0.219626,0.410318,0.008608,0.056242,-30.389405,2.278470,0.340112,0.384800,0.164241,0.011296,-0.014728,0.050657,-0.205476,0.163158,-0.153277,0.153103,-0.033570,0.032958,0.001879,0.070245,0.009494,0.031801,0.016901,0.051686,0.003701,0.005228,0.010234,0.028533,0.003499,0.030792,0.039850,0.022815,0.642103,0.082516,0.067890,0.404736,0.006190,0.049438,5.851649,1.101309,0.679617,0.340463,0.252651,0.228588,0.228331,0.289657,0.224594,0.210311,0.272339,0.194990,0.176078,0.045129,0.001815,0.045645,0.008463,0.028755,0.021505,0.044685,0.009180,0.004092,0.008194,0.027613,0.003047,0.013396,depan_mati
0.063489,0.007143,2.956867,0.181068,0.222599,0.484215,0.009164,0.082724,-31.430981,2.017748,0.200156,0.095502,0.047746,0.080532,-0.024921,0.022823,-0.022504,0.189105,-0.088994,0.015416,-0.117739,0.025355,0.004575,0.064874,0.007270,0.035126,0.008731,0.024899,0.004444,0.006078,0.009687,0.026348,0.004881,0.027175,0.045972,0.010796,0.414727,0.083194,0.065639,0.380634,0.008074,0.084778,5.779633,0.803832,0.778619,0.387040,0.288359,0.259030,0.280468,0.279235,0.242746,0.228998,0.221145,0.191884,0.175272,0.024115,0.004345,0.065859,0.006901,0.030471,0.010724,0.023514,0.007331,0.005507,0.007381,0.025710,0.004799,0.014830,depan_mati
